layer_name,bit_position,auroc,fpr,detection_error,auroc_fi,fpr_fi,detection_error_fi
layer1.1.conv2,3,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv2,4,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv2,5,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv2,6,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv2,7,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv2,8,90.32,39.29,15.84,90.32,39.31,15.84
layer1.1.conv2,9,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv2,10,90.32,39.29,15.84,90.32,39.3,15.84
layer1.1.conv2,11,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv2,12,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv2,13,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv2,14,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv2,15,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv2,16,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv2,17,90.32,39.29,15.84,90.32,39.31,15.84
layer1.1.conv2,18,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv2,19,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv2,20,90.32,39.29,15.84,90.32,39.3,15.84
layer1.1.conv2,21,90.32,39.29,15.84,90.32,39.31,15.84
layer1.1.conv2,22,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv2,23,90.32,39.29,15.84,90.32,39.31,15.84
layer1.1.conv2,24,90.32,39.29,15.84,90.32,39.27,15.84
layer1.1.conv2,25,90.32,39.29,15.84,90.31,39.33,15.84
layer1.1.conv2,26,90.32,39.29,15.84,90.31,39.23,15.82
layer1.1.conv2,27,90.32,39.29,15.84,90.39,39.5,15.77
layer1.1.conv2,28,90.32,39.29,15.84,90.32,39.17,15.84
layer1.1.conv2,29,90.32,39.29,15.84,90.32,39.29,15.84
layer1.1.conv2,30,90.32,39.29,15.84,74.41,50.65,25.11
layer1.2.conv1,0,90.32,39.29,15.84,90.32,39.29,15.84
layer1.2.conv1,1,90.32,39.29,15.84,90.32,39.29,15.84
layer1.2.conv1,2,90.32,39.29,15.84,90.32,39.29,15.84
layer1.2.conv1,3,90.32,39.29,15.84,90.32,39.29,15.84
layer1.2.conv1,4,90.32,39.29,15.84,90.32,39.29,15.84
layer1.2.conv1,5,90.32,39.29,15.84,90.32,39.29,15.84
